economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
MDA,76.5629863195976,74.4456967789098,77.3756289829454,86.7433397298961,81.5051573426573,91.8599835334112,91.8984269562497,97.1400655062699,93.6028527383109,73.4912043317434,60.1082387994597,66.0771389769877,65.1735592834567,63.5946836584244,61.9885724123262,57.4352269249629,55.328044528016,54.5384299113688,55.7275203268222,55.3376497804092,49.9254534708056,57.9925260005332
MKD,47.2133072721862,42.2793025163138,45.2326350350567,43.4129530246302,50.1663188335601,51.0334028212302,54.7601839684625,61.9763522120524,68.3455855768999,54.371210403693,58.0913157220738,66.0676970007712,66.8405816975678,61.4607554229903,64.8750736783851,64.9604439721337,65.5215662539194,68.9915645536526,72.8400703306813,76.1681750526576,70.4697821845457,82.2542025692036
MNE,51.110210293901,61.9859316969215,59.8732828905439,46.9871428117352,58.0876077909525,61.0760145763567,77.4331924951224,85.7431479646934,92.8205232311593,65.0941619019562,62.7359212054693,64.3100103804819,68.0935615753312,61.4285701540024,59.9839151953109,60.5709052261971,63.0722631968139,64.4997744872114,66.7342964918413,64.9979426211158,61.0093366878564,62.1956378014157
NLD,59.4886804850367,56.740357059108,53.3089753899632,52.6358690353152,54.9343833012776,57.1745724591247,59.5910330410267,61.6824135536282,61.2662585483886,54.6525361611415,61.718401657105,66.9687049767897,69.765041365094,69.6688535163968,69.4758472809578,75.1576793312541,69.3234999724707,72.6364431968743,74.1397465332105,72.7329639446286,68.1963014575722,72.7201070582795
NOR,28.9192540485098,28.3171578962172,27.2372785591015,26.9226544159214,27.9178584648518,27.4110333384087,27.7112885927419,29.8857573463741,28.9726476646376,27.8191182059897,28.4897157183215,28.3994280768709,27.5349664800191,28.3494463445193,29.6669271087049,32.0573495227516,33.480388929128,32.8314289511808,32.2379357888517,34.7812983024478,33.0852196473199,29.3152001916037
POL,33.6802572670321,30.9694350187065,32.2742528446936,36.0957655768977,37.2101970761694,35.9189524799855,40.1497618827208,42.3151675609764,43.0908911293114,38.1255443596144,42.4618368507942,44.7100070093413,44.989362816922,44.7984388936806,46.0798611274457,45.3684824498143,47.2716186282683,49.2255372973693,50.702466863484,49.4933781721763,47.3332871335243,54.534922185958
PRT,39.2483773924343,37.6546290635856,35.2348971843795,33.7717555904736,35.5375421117759,35.8603370144983,38.1896486771007,38.7519330104618,40.8146638437736,34.1989508086976,37.7139865308418,38.644682399142,38.2728240456527,38.5079296469449,40.0663398736754,39.8757789350306,39.0634059895101,41.7148741234948,42.9830419043532,43.0562955633461,39.190714226037,44.5769375996167
ROU,26.9324410712586,29.8226275519331,29.6972184551935,31.9667919982326,34.8825424019048,34.8253288429032,36.9123994274755,38.7943276239508,39.0194700376745,32.4492215401029,38.1594388531735,40.8742083023035,40.7877139150902,41.1542758907535,41.9002225224272,42.1716790383073,43.4769272415812,44.8218377287421,44.9289230084585,44.3028663616078,41.1825487998703,46.5092879970766
RUS,24.0334657318409,24.2173650683869,24.432851668898,23.8782872312785,22.1639613425553,21.5101825251255,21.0029264232118,21.5420622610532,22.072905707322,20.4969598237716,21.1399447023288,19.9800379279369,20.2440700464294,20.441812574244,20.6902442110591,20.6559598687647,20.6636368626929,20.7856433573743,20.7876435683221,20.7953229819275,20.4483023068266,21.3110730154455
SMR,,,,,,,,,,,,,,,,146.911332466153,147.077919840142,145.071642434811,142.890458767935,143.267538916062,140.424473235515,
SRB,13.7091400560418,35.8603916619851,36.7721931549499,38.0243400563547,49.0931721020123,45.0519510700688,47.466005353606,48.3153704851069,50.2363479697585,39.6740413392525,44.4755558028959,45.8072142294259,49.6260201190118,48.0687664724465,50.1538895652821,52.218524853324,53.3429314247923,57.0561904686686,59.0603044132937,60.9436743497558,56.499978399219,62.279193803209
SVK,55.582946714967,64.5611061177352,63.4033914196547,62.8133300938213,70.6040525429178,75.4260021221074,83.3864331854633,82.9486915133953,81.9228612507959,68.2045729281013,76.8925787145593,83.6558936701812,85.3350699790495,87.9086772864054,86.6334167704326,88.5875576940972,90.5673999658181,92.9847860768712,93.9681785616781,91.5772469285315,83.4394529645077,94.0261379220753
SVN,53.8125940096287,52.7874423424351,51.3300930861539,51.3210313570502,56.50175261216,60.4513470233788,64.9181780394435,69.2280766400665,68.4182687949474,55.8575831638001,63.2166580331064,69.0307604700009,69.4928419150691,69.539878839643,69.3980080719999,69.1471784376254,69.0596076963907,74.1489331452806,76.3497270380054,75.0998112258108,68.4947444470511,77.2903011848667
SWE,38.2190734717217,37.6675449559078,35.9715602601049,34.9198886945354,35.9005071737132,38.7359970795797,40.7079804771039,41.5518218655185,43.4772275092146,38.0548772330147,39.5695242391316,40.5198362082725,40.2547256461647,38.2888561427337,39.6673704457852,39.957046992468,39.6291668167222,41.2000275021437,43.4481368827908,43.6246180157354,39.3637003432345,41.19163661703
